,수치,비율,시도,YEAR,전년대비증가율
관심,181.0,2.3415265200517466,세종,2019,-1.0717315899623578
관찰1,303.0,3.9197930142302715,세종,2019,0.37959555301729564
관찰2,495.0,6.403622250970247,세종,2019,-0.14080652194935883
관찰3,150.0,1.9404915912031047,세종,2019,0.6428893345035278
부도,0.0,0.0,세종,2019,0.0
정상,6155.0,79.6248382923674,세종,2019,0.0479694630302987
폐업,429.0,5.54980595084088,세종,2019,0.091413849289399
휴업,17.0,0.21992238033635186,세종,2019,0.05066991207118965
총합,7730.0,100.0,세종,2019,0.0
관심,468.0,2.281146422304543,울산,2019,-0.6421367288606459
관찰1,395.0,1.925326574380971,울산,2019,-0.5803446980463336
관찰2,1656.0,8.071748878923767,울산,2019,0.6011363815016173
관찰3,573.0,2.7929420939754337,울산,2019,0.08619843548914785
부도,0.0,0.0,울산,2019,-0.04124561765312436
정상,15296.0,74.55644375121857,울산,2019,0.31433197559472603
폐업,2035.0,9.919087541431077,울산,2019,0.061384922334355
휴업,93.0,0.45330473776564634,울산,2019,0.2006753296402597
총합,20516.0,100.0,울산,2019,0.0
관심,1224.0,1.7647313254228,인천,2019,-0.05383689365546829
관찰1,2336.0,3.3679839674735796,인천,2019,-0.08092003398370373
관찰2,6497.0,9.367205409535893,인천,2019,0.5976990642811728
관찰3,1801.0,2.596634899580444,인천,2019,0.25890947605746106
부도,74.0,0.10669127294222812,인천,2019,-0.0360010581039799
정상,49033.0,70.69450251589556,인천,2019,0.04206460223960562
폐업,8171.0,11.780735016364135,인천,2019,-0.8414642671382033
휴업,223.0,0.3215155927853631,인천,2019,0.11354911030312376
총합,69359.0,100.0,인천,2019,0.0
관심,1421.0,2.5720853621011095,전남,2019,-0.5620418003342986
관찰1,1101.0,1.9928683910438574,전남,2019,0.17305261930716886
관찰2,3174.0,5.7451083316741185,전남,2019,-0.021386089055305924
관찰3,1121.0,2.029069451734936,전남,2019,0.2055092031016701
부도,0.0,0.0,전남,2019,0.0
정상,44052.0,79.73645627816896,전남,2019,0.3404404015869176
폐업,4256.0,7.70358571506145,전남,2019,-0.20474949051033065
휴업,122.0,0.22082647021557733,전남,2019,0.06917515590418663
총합,55247.0,100.0,전남,2019,0.0
관심,1368.0,2.464287644335561,전북,2019,-0.299206122080776
관찰1,1709.0,3.0785581755624807,전북,2019,0.08569812598976778
관찰2,4504.0,8.113414875794858,전북,2019,-0.13452267738482426
관찰3,1276.0,2.2985606974942807,전북,2019,0.0474416119998482
부도,3.0,0.005404139570911318,전북,2019,-0.003844500878942554
정상,41704.0,75.1247455550952,전북,2019,0.24220328880834074
폐업,4868.0,8.769117143732098,전북,2019,0.023602734350276933
휴업,81.0,0.14591176841460557,전북,2019,0.03862753919630066
총합,55513.0,100.0,전북,2019,0.0
관심,703.0,3.153031933979189,제주,2019,0.19573790525658863
관찰1,475.0,2.130426982418371,제주,2019,-0.06156092385524925
관찰2,1034.0,4.637603157517043,제주,2019,0.3528336941761516
관찰3,405.0,1.8164693218514532,제주,2019,0.20554717521502086
부도,0.0,0.0,제주,2019,0.0
