시도,구군,신설법인수,year
부산,남구,411,2020
부산,동구,287,2020
부산,동래구,359,2020
부산,부산진구,634,2020
부산,북구,218,2020
부산,사상구,392,2020
부산,사하구,249,2020
부산,서구,200,2020
부산,수영구,344,2020
부산,연제구,460,2020
부산,영도구,106,2020
부산,중구,228,2020
부산,해운대구,1096,2020
서울,강남구,7628,2020
서울,강동구,668,2020
서울,강북구,318,2020
서울,강서구,1645,2020
서울,관악구,526,2020
서울,광진구,687,2020
서울,구로구,1685,2020
서울,금천구,1951,2020
서울,노원구,357,2020
서울,도봉구,241,2020
서울,동대문구,567,2020
서울,동작구,370,2020
서울,마포구,1822,2020
서울,서대문구,603,2020
서울,서초구,3545,2020
서울,성동구,1373,2020
서울,성북구,416,2020
서울,송파구,2171,2020
서울,양천구,462,2020
서울,영등포구,4816,2020
서울,용산구,852,2020
서울,은평구,466,2020
서울,종로구,1029,2020
서울,중구,1362,2020
서울,중랑구,311,2020
울산,남구,633,2020
울산,동구,139,2020
울산,북구,235,2020
울산,울주군,464,2020
울산,중구,234,2020
인천,강화군,159,2020
인천,계양구,348,2020
인천,남동구,999,2020
인천,동구,138,2020
인천,미추홀구,404,2020
인천,부평구,624,2020
인천,서구,1291,2020
인천,연수구,1279,2020
인천,옹진군,28,2020
인천,중구,396,2020
전남,강진군,88,2020
전남,고흥군,121,2020
전남,곡성군,59,2020
전남,광양시,261,2020
전남,구례군,33,2020
전남,나주시,416,2020
전남,담양군,151,2020
전남,목포시,450,2020
전남,무안군,194,2020
전남,보성군,84,2020
전남,순천시,418,2020
전남,신안군,98,2020
전남,여수시,470,2020
전남,영광군,117,2020
전남,영암군,348,2020
전남,완도군,84,2020
전남,장성군,174,2020
전남,장흥군,72,2020
전남,진도군,45,2020
전남,함평군,97,2020
전남,해남군,178,2020
전남,화순군,159,2020
전북,고창군,134,2020
전북,군산시,649,2020
전북,김제시,290,2020
전북,남원시,185,2020
전북,무주군,66,2020
전북,부안군,123,2020
전북,순창군,60,2020
전북,완주군,262,2020
전북,익산시,562,2020
전북,임실군,65,2020
전북,장수군,40,2020
전북,전주시,1364,2020
전북,정읍시,248,2020
전북,진안군,59,2020
제주,서귀포시,377,2020
제주,제주시,1238,2020
충남,계룡시,53,2020
충남,공주시,278,2020
충남,금산군,155,2020
충남,논산시,220,2020
충남,당진시,372,2020
충남,보령시,208,2020
충남,부여군,123,2020
충남,서산시,253,2020
충남,서천군,99,2020
충남,아산시,758,2020
충남,예산군,133,2020
충남,천안시,1632,2020
충남,청양군,58,2020
충남,태안군,113,2020
충남,홍성군,184,2020
충북,괴산군,105,2020
충북,단양군,42,2020
충북,보은군,50,2020
충북,영동군,60,2020
충북,옥천군,109,2020
충북,음성군,444,2020
충북,제천시,207,2020
충북,증평군,48,2020
충북,진천군,197,2020
충북,청주시,1558,2020
충북,충주시,383,2020
세종,세종시,873,2020
